Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1923,-0.6,0,0,0.6,0,0.6,1.2,-0.6,0.6,0.6,0,0
1922,-2.3,0,-1.2,0,0,0,0.6,-1.2,0,0.6,0.6,0.6
1921,-2.1,-3.2,-0.5,-1.1,-2.2,-0.6,0.6,0,-1.1,0,-0.6,-0.6
1920,2.1,1,1,3,1.5,1.5,-0.5,-2.4,-1.5,-0.5,-0.5,-2
1919,0,-1.8,1.2,1.8,1.2,0,3,1.7,0.6,1.7,2.2,2.2
1918,2.2,0.7,-0.7,1.4,2.1,1.4,2.7,2,1.9,1.9,1.9,1.2
1917,0.9,2.6,0,5,1.6,1.6,-1.5,1.6,2.3,1.5,0,1.5
1916,1,0,1,1,0.9,0.9,0,0.9,1.8,1.8,1.8,0.9
1915,0,-1,-1,1,1,0,0,0,0,1,1,0
1914,0,-1,0,-1,1,0,1,2,0,-1,1,-1
1913,N/A,0,0,0,-1,1,1,0,1,0,1,-1
